intra_inertia,inter_inertia,nmi,silhouette,runtime_s,n_iter,algorithm,dataset,k,n,seed
59.80701291026946,59.09032835479739,0.7915165160368711,0.29016347892502725,0.008423100000072736,6,KMM,wine,3,178,9
59.80701291026946,59.09032835479739,0.7915165160368711,0.29016347892502725,0.00865949999933946,7,KMM++,wine,3,178,0
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.0239822000003187,7,KMM++,wine,3,178,1
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.015256399998179404,8,KMM++,wine,3,178,2
59.80701291026946,59.09032835479739,0.7915165160368711,0.29016347892502725,0.010426600001665065,12,KMM++,wine,3,178,3
59.80701291026946,59.09032835479739,0.7915165160368712,0.29016347892502725,0.009812399999646004,13,KMM++,wine,3,178,4
59.80701291026946,59.09032835479739,0.7915165160368711,0.29016347892502725,0.009079899999051122,9,KMM++,wine,3,178,5
59.80701291026946,59.09032835479739,0.7915165160368711,0.29016347892502725,0.008670099996379577,7,KMM++,wine,3,178,6
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.014257899998483481,9,KMM++,wine,3,178,7
59.80701291026946,59.09032835479739,0.7915165160368711,0.29016347892502725,0.007375100001809187,6,KMM++,wine,3,178,8
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.01246250000258442,7,KMM++,wine,3,178,9
