intra_inertia,inter_inertia,silhouette,davies_bouldin,calinski_harabasz,runtime_s,n_iter,nmi,ari,purity,algorithm,mode,dataset,k,n,seed
1068.8661379317834,261.04534034814895,0.05527037960550023,3.100820734482512,54.001173024756405,0.7008734999999433,1,0.40500111213773865,0.27323082692566364,0.4795,Dist-KMeans++,distributed,mnist,10,2000,5
1051.2296355215844,278.6818427583479,0.05726402595386898,2.93601164708834,58.616737786522435,0.589636100000007,1,0.4535603482514285,0.32267131895048273,0.54,Dist-KMeans++,distributed,mnist,10,2000,6
1082.6899186238059,247.22155965612635,0.04480255717032531,3.1828640192289077,50.48854044532895,0.5513983999999255,1,0.3482363171351307,0.2013162327478206,0.405,Dist-KMeans++,distributed,mnist,10,2000,7
1068.0353966002265,261.8760816797059,0.051122778867618145,3.138896066986646,54.21516138691951,0.5835753999999724,1,0.40944901847767823,0.27448296648269577,0.5055,Dist-KMeans++,distributed,mnist,10,2000,8
1063.9420476380278,265.9694306419047,0.05061558006564115,3.1340871867480375,55.27443572831605,0.6855905000002167,1,0.39133945052268637,0.24084141534772469,0.4575,Dist-KMeans++,distributed,mnist,10,2000,9
1382.7180783689962,745.6797770033038,0.026990897758341976,2.282285576947883,119.24201079425404,1.9368078999996214,5,0.31786211382406443,0.19069460200537564,0.4555,Dist-PAM,distributed,mnist,10,2000,0
1427.5255139459764,807.6515319378734,0.038025490541042754,2.189404850940016,125.09809868388277,1.0240411999998287,2,0.26567587134783216,0.14970325924401828,0.402,Dist-PAM,distributed,mnist,10,2000,1
1404.8663584868268,772.4970807995185,0.027853838202207243,2.2458275087441515,121.582872871728,0.8518343999999161,3,0.2869292956319214,0.15656406363419922,0.4255,Dist-PAM,distributed,mnist,10,2000,2
1438.7674355203749,790.3191683410707,0.033986378951196314,2.245780443154217,121.4569812536105,1.349002500000097,3,0.23505827290703865,0.13480950002930817,0.3755,Dist-PAM,distributed,mnist,10,2000,3
1431.3110738566565,726.5488949755526,0.023223850733382824,2.587606710422412,112.23837807090358,1.0036534000000756,3,0.21051660851617404,0.10695622455271853,0.3495,Dist-PAM,distributed,mnist,10,2000,4
